url_path,views_total,views_unique
/caya8205-2/noctune,90,10
/caya8205-2/noctune/releases/tag/v4.0.0,15,5
/caya8205-2/noctune/actions,13,1
/caya8205-2/noctune/releases,9,1
/caya8205-2/noctune/actions/workflows/github-repo-stats.yml,7,1
/caya8205-2/noctune/actions/workflows/repository-traffic-card.yml,7,1
/caya8205-2/noctune/tags,6,1
/caya8205-2/noctune/actions/workflows/pages/pages-build-deployment,5,1
/caya8205-2/noctune/pulls,5,1
/caya8205-2/noctune/actions/runs/33325283566/job/99294226772,4,1
