time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-03 00:00:00+00:00,4,2,0,0
2026-06-04 00:00:00+00:00,12,6,2,1
2026-06-05 00:00:00+00:00,0,0,6,1
2026-06-06 00:00:00+00:00,57,26,32,1
2026-06-07 00:00:00+00:00,30,9,8,2
2026-06-08 00:00:00+00:00,6,4,5,2
2026-06-09 00:00:00+00:00,0,0,6,2
2026-06-10 00:00:00+00:00,1,1,0,0
2026-06-11 00:00:00+00:00,1,1,0,0
2026-06-12 00:00:00+00:00,0,0,0,0
2026-06-13 00:00:00+00:00,31,10,14,1
2026-06-14 00:00:00+00:00,14,3,11,3
2026-06-15 00:00:00+00:00,32,7,9,1
2026-06-16 00:00:00+00:00,19,12,13,2
2026-06-17 00:00:00+00:00,71,39,69,2
2026-06-18 00:00:00+00:00,55,25,39,2
2026-06-19 00:00:00+00:00,57,16,2,1
2026-06-20 00:00:00+00:00,26,13,15,1
2026-06-21 00:00:00+00:00,26,16,0,0
2026-06-22 00:00:00+00:00,28,14,12,1
2026-06-23 00:00:00+00:00,41,17,7,1
2026-06-24 00:00:00+00:00,28,17,18,1
2026-06-25 00:00:00+00:00,42,14,10,1
2026-06-26 00:00:00+00:00,61,17,8,1
2026-06-27 00:00:00+00:00,117,43,46,1
2026-06-28 00:00:00+00:00,24,11,26,1
2026-06-29 00:00:00+00:00,26,11,1,1
2026-06-30 00:00:00+00:00,27,14,7,1
2026-07-01 00:00:00+00:00,29,17,27,1
2026-07-02 00:00:00+00:00,68,36,38,1
2026-07-03 00:00:00+00:00,20,11,16,2
2026-07-04 00:00:00+00:00,33,14,9,1
2026-07-05 00:00:00+00:00,18,9,11,1
2026-07-06 00:00:00+00:00,29,14,7,1
2026-07-07 00:00:00+00:00,48,18,3,1
2026-07-08 00:00:00+00:00,43,16,13,1
2026-07-09 00:00:00+00:00,17,11,3,1
2026-07-10 00:00:00+00:00,46,22,49,2
2026-07-11 00:00:00+00:00,52,22,39,9
2026-07-12 00:00:00+00:00,47,35,25,4
2026-07-13 00:00:00+00:00,22,11,12,2
